Source,CH1
Second,Volt
-0.02176000000,86.00000,
-0.02175600156,86.00000,
-0.02175200000,86.00000,
-0.02174800000,88.00000,
-0.02174400000,88.00000,
-0.02174000000,86.00000,
-0.02173600000,86.00000,
-0.02173200000,86.00000,
-0.02172800000,86.00000,
-0.02172400000,88.00000,
-0.02172000000,88.00000,
-0.02171600000,88.00000,
-0.02171200000,88.00000,
-0.02170800000,88.00000,
-0.02170400000,86.00000,
-0.02170000000,88.00000,
-0.02169600000,88.00000,
-0.02169200000,88.00000,
-0.02168800000,88.00000,
-0.02168400000,86.00000,
-0.02168000000,86.00000,
-0.02167600000,88.00000,
-0.02167200000,86.00000,
-0.02166800000,88.00000,
-0.02166399844,88.00000,
-0.02166000000,88.00000,
-0.02165599844,88.00000,
-0.02165200000,88.00000,
-0.02164799844,88.00000,
-0.02164400000,88.00000,
-0.02164000156,88.00000,
-0.02163600000,88.00000,
-0.02163200156,88.00000,
-0.02162800000,88.00000,
-0.02162400000,88.00000,
-0.02162000000,88.00000,
-0.02161600000,88.00000,
-0.02161200000,88.00000,
-0.02160800000,88.00000,
-0.02160400000,88.00000,
-0.02160000000,88.00000,
-0.02159600000,88.00000,
-0.02159200000,88.00000,
-0.02158800000,88.00000,
-0.02158400000,88.00000,
-0.02158000000,88.00000,
-0.02157600000,88.00000,
-0.02157200000,88.00000,
-0.02156800000,88.00000,
-0.02156400000,88.00000,
-0.02156000000,88.00000,
-0.02155600000,88.00000,
-0.02155200000,88.00000,
-0.02154800000,88.00000,
-0.02154400000,88.00000,
-0.02153999844,88.00000,
-0.02153600000,88.00000,
-0.02153199844,88.00000,
-0.02152800000,88.00000,
-0.02152399844,88.00000,
-0.02152000000,88.00000,
-0.02151600156,88.00000,
-0.02151200000,88.00000,
-0.02150800156,88.00000,
-0.02150400000,88.00000,
-0.02150000000,88.00000,
-0.02149600000,88.00000,
-0.02149200000,88.00000,
-0.02148800000,90.00000,
-0.02148400000,88.00000,
-0.02148000000,88.00000,
-0.02147600000,88.00000,
-0.02147200000,88.00000,
-0.02146800000,88.00000,
-0.02146400000,88.00000,
-0.02146000000,88.00000,
-0.02145600000,90.00000,
-0.02145200000,88.00000,
-0.02144800000,88.00000,
-0.02144400000,90.00000,
-0.02144000000,90.00000,
-0.02143600000,88.00000,
-0.02143200000,88.00000,
-0.02142800000,90.00000,
-0.02142400000,88.00000,
-0.02142000000,88.00000,
-0.02141599844,88.00000,
-0.02141200000,88.00000,
-0.02140799844,88.00000,
-0.02140400000,88.00000,
-0.02139999844,90.00000,
-0.02139600000,90.00000,
-0.02139200156,88.00000,
-0.02138800000,88.00000,
-0.02138400000,90.00000,
-0.02138000000,88.00000,
-0.02137600000,88.00000,
-0.02137200000,88.00000,
-0.02136800000,90.00000,
-0.02136400000,88.00000,
-0.02136000000,88.00000,
-0.02135600000,88.00000,
-0.02135200000,88.00000,
-0.02134800000,88.00000,
-0.02134400000,90.00000,
-0.02134000000,88.00000,
-0.02133600000,90.00000,
-0.02133200000,88.00000,
-0.02132800000,88.00000,
-0.02132400000,90.00000,
-0.02132000000,88.00000,
-0.02131600000,88.00000,
-0.02131200000,90.00000,
-0.02130800000,88.00000,
-0.02130400000,88.00000,
-0.02129999844,88.00000,
-0.02129600000,90.00000,
-0.02129199844,88.00000,
-0.02128800000,90.00000,
-0.02128399844,88.00000,
-0.02128000000,88.00000,
-0.02127599844,90.00000,
-0.02127200000,88.00000,
-0.02126800156,90.00000,
-0.02126400000,90.00000,
-0.02126000000,88.00000,
-0.02125600000,88.00000,
-0.02125200000,88.00000,
-0.02124800000,88.00000,
-0.02124400000,90.00000,
-0.02124000000,88.00000,
-0.02123600000,90.00000,
-0.02123200000,88.00000,
-0.02122800000,88.00000,
-0.02122400000,88.00000,
-0.02122000000,90.00000,
-0.02121600000,88.00000,
-0.02121200000,88.00000,
-0.02120800000,88.00000,
-0.02120400000,90.00000,
-0.02120000000,90.00000,
-0.02119600000,90.00000,
-0.02119200000,90.00000,
-0.02118800000,90.00000,
-0.02118400000,90.00000,
-0.02118000000,90.00000,
-0.02117599844,88.00000,
-0.02117200000,88.00000,
-0.02116799844,90.00000,
-0.02116400000,90.00000,
-0.02115999844,90.00000,
-0.02115600000,90.00000,
-0.02115200156,88.00000,
